id,name
2778,Dennis Hopper
1499594,Satya De La Manitou
31169,Julie Adams
1062379,Pierre Berton
65103,Linda Lee Cadwell
57700,Brandon Lee
62410,Sammo Hung
1619377,Cheung Wood-Yau
1331010,Ng Cho-Fan
122528,Bruce Li
1341,Donnie Yen
135177,John Little
132476,Riccardo Billi
51576,Chuck Norris
1698118,Pak Yin
240040,Cheung Ying
1619,Chow Yun-Fat
1338,Maggie Cheung
68676,Yuen Siu-Tien
936716,Chen Hung-Lieh
1635792,Yang Yang
1519031,Allen Ai Lun
130394,Hsu Feng
238888,Tien Peng
695,Roy Chiao
144302,Claudia Bassols
36071,John Colton
56890,Malcolm McDowell
46393,Roseanne Barr
8893,Stockard Channing
1162,Robert Loggia
41249,Tess Harper
1204,Julia Roberts
21818,Lesley Ann Warren
1204293,J. Allen Hynek
2027993,Philip J. Klass
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2734158,Shamar Rinpoche
2045089,Jeanmarie Simpson
4687,Patricia Arquette
2045090,Joyce Julianne Auer
9871,Ursula Andress
4956,Bernardo Bertolucci
15531,Ossie Davis
18249,Cicely Tyson
51718,Naura Hayden
19178,Dick Shawn
82388,Bob Hope
1243,Woody Allen
99662,Mitzi Gaynor
82170,Jeanne Crain
83463,Nancy Sinatra
543105,Ella Fitzgerald
581662,Antônio Carlos Jobim
4070,Grace Kelly
40167,Don Costa
185588,Frank Sinatra Jr.
13294,Gene Kelly
56752,Lorna Luft
66776,Liza Minnelli
16303,Céline Dion
94759,Gloria Estefan
77073,Lance Bass
834,Otto Preminger
16523,Burgess Meredith
19460,Saul Bass
12147,Spencer Tracy
6598,Katharine Hepburn
7639,Joan Bennett
40174,Lucille Ball
109897,Ethel Merman
4165,John Wayne
4300,Ricky Nelson
89784,Phyllis Diller
22092,Frankie Avalon
2672,Jack Carson
19724,Hunter S. Thompson
1188774,Ralph Steadman
38070,Edward Judd
4173,Anthony Hopkins
15854,Ted Levine
368,Reese Witherspoon
1244120,Ralph Foody
88516,Billy Warlock
85154,Tony Denison
18461,Nick Chinlund
1216139,Michael Raynor
57389,Justin Pierce
98539,Frank Zappa
6609,Theodore Bikel
5791,Arlene Francis
61303,Dick Van Dyke
46944,Michele Lee
1937,Mickey Rooney
1242827,Erroll Garner
586186,George Avakian
2750,Julie Harris
37469,Betsy Palmer
1211997,Liz Sheridan
1116483,Deirdre Flynn
1888957,Rory Flynn
5656,Noah Baumbach
1245,Scarlett Johansson
1023139,Adam Driver
934,Russell Crowe
935,Connie Nielsen
5953,Spike Jonze
9273,Amy Adams
1136517,Sia
1819889,Sasha Frolova
1345495,Odessa Young
58074,Madge Sinclair
741,River Phoenix
26847,Adam West
19769,David Ayer
1447932,Winston Duke
137905,Bill Skarsgård
69033,Vivian Wu
939118,Haoyu Yang
1528800,Meng Li
39996,Sidney Lumet
1151,Martin Bregman
1115053,Irene Bignardi
25822,Marcello Gatti
354606,Tullio Kezich
65314,Giuseppe Tornatore
28782,Monica Bellucci
856,Ben Gazzara
12235,Vilmos Zsigmond
98199,Jerry Schatzberg
45380,Turhan Bey
29312,Christopher George
41232,Jessica Walter
40433,Barry Sullivan
41256,Art Hindle
91460,Robyn Douglass
24554,John van Dreelen
1145340,Stacey Bedford
168374,Cheryl Carter
7056,Emma Thompson
56101,Gerard Horan
78334,Rebekah Staton
5309,Judi Dench
195525,Miranda Raison
31308,Richard E. Cunha
30810,Donald F. Glut
22082,Lacey Chabert
2714,Lance Henriksen
2057865,AnnaRose King
1778612,Ted Tremper
1848881,Becky Yamamoto
45230,Carroll Borland
56444,Robert Cornthwaite
8223,Jon Finch
41234,Judy Geeson
142858,Melissa Gilbert
7505,Roddy McDowall
26557,Ferdy Mayne
1084308,Mercy Haystead
510,Tim Burton
10222,Roger Moore
131814,Michael Brandon
25666,Ian Hogg
222054,Selma Brook
1483204,Ryan Mercier
1483206,Tina Gray
8724,Errol Flynn
30296,Joanne Dru
29903,Peter Finch
20143,Jean Kent
12250,James Donald
97243,Hugh Sinclair
1367,Alan Howard
1328,Sean Astin
173431,Bruce Allpress
29094,John Bach
73640,James Nachtwey
73642,Hans-Hermann Klare
82426,The Edge
82427,Adam Clayton
82428,Larry Mullen Jr.
181452,Kix Brooks
1316826,David Sylvian
45052,Anton Corbijn
92911,Garth Brooks
72538,Daniel Lanois
96635,Aaron Neville
1744249,Kygo
1569717,Martin Garrix
18015,Andrea Corr
22410,Sharon Corr
22411,Caroline Corr
57446,Mark Romanek
215486,Fiona Apple
72208,Alicia Keys
3284,Bruce Springsteen
18746,Stevie Wonder
237405,Lady Gaga
81487,George Michael
56367,Naomi Campbell
937034,Christy Turlington
54421,Janet Jackson
12111,Justin Timberlake
71860,Michelle Kwan
1596154,Philippe Candeloro
1340706,Michael Weiss
155488,Kelly Clarkson
964397,Miranda Lambert
21986,Reba McEntire
90654,Pam Dawber
19011,George W. Bush
1189929,Condoleezza Rice
11074,Kathy Najimy
40009,Matt Frewer
1062,Christopher Lloyd
15903,George Carlin
24594,Michael Angelis
1220781,Shelly Altman
115002,John Aniston
18918,Dwayne Johnson
40462,Kristen Bell
1136406,Tom Holland
76689,Sarah Brightman
1120207,Zucchero
62053,David Foster
117092,Laura Pausini
982,Sting
1338524,Myung-Whun Chung
1192274,Jordan Fisher
91351,Sarah Hyland
1932529,Jesse Palmer
11370,Elton John
2605892,James Morrison
1060422,Lily Allen
18992,Aidan Quinn
2222,Beau Bridges
152699,James Noble
66288,Roberts Blossom
41689,Rue McClanahan
1285,AnnaSophia Robb
11905,Sven Nykvist
38127,Erland Josephson
6648,Ingmar Bergman
1137209,Jonathan Adams
69500,Lou Adler
13473,Barry Bostwick
12219,Jon Stewart
19292,Adam Sandler
7132,Vincent D'Onofrio
36190,Edie Falco
51750,Joey Lawrence
158769,Khrystyne Haje
59258,Lewis Black
39104,Abel Ferrara
2313633,Anna Ferrara
71010,Tom Conti
12516,Linda Hunt
12852,Barry Corbin
3800,Jerry Hall
8892,Olivia Newton-John
8894,Jeff Conaway
1084537,Derek Savage
2609280,Alistair Cooper
77700,Travis Fimmel
2021205,Future
1911675,Young Thug
73956,John Frusciante
1237,Flea
2406668,Robert Williams
2406671,Suzanne Williams
150442,Don Ed Hardy
557789,Roxy Rizzo
557790,Lucita Jules
1280503,Ashley Wallen
1282510,David Scotchford
1173226,Dannii Minogue
182195,Chrissie Hynde
67274,Dolly Parton
1003713,Lady Antebellum
1234635,Nikki Webster
39516,Nick Cave
1041309,Thomas Wydler
1041310,Martyn P. Casey
2240369,Bert Stern
82280,Louis Armstrong
40092,Twiggy
201,Michel Gondry
47,Björk
64182,Bill Barretta
97185,Eric Jacobson
475512,Ellie Kemper
