source,target
8891,8892
8891,8894
8891,1084537
8891,2609280
8891,12235
8891,19665
8891,98199
8891,138986
8891,53397
8891,7904
8891,1306064
8891,174981
8891,558240
8891,4430
8891,6449
8891,516
8891,2040755
8891,57756
8891,2040756
139,140
139,2535
139,77700
139,2545
139,141
37934,15310
37934,12207
37934,2021205
37934,1911675
15310,73956
15310,1237
15310,12207
15310,2406668
15310,2406671
15310,150442
12207,557789
12207,557790
12207,1280503
12207,1282510
12207,1173226
12207,182195
12207,67274
12207,1003713
12207,1234635
12207,1149345
12207,80535
12207,47632
12207,1250
12207,10730
12207,24265
12207,39516
12207,1041309
12207,1041310
12207,2240369
12207,82280
12207,40092
12207,201
12207,47
12207,206
12207,28626
12207,3614
12207,2352
12207,64181
12207,64182
12207,97185
56323,56322
56323,41091
56323,475512
56323,13636
56322,41091
56322,78798
56322,34398
56322,70615
56322,112261
56322,13446
56322,87192
41091,61110
41091,62831
41091,17051
41091,84678
41091,368
41091,73421
23916,178536
23916,44716
23916,6614
23916,61153
7174,8261
7174,105629
7174,1893288
7174,1573653
7174,2295371
7174,943183
7174,2231
7174,19742
7174,7172
7174,22859
7174,532942
7174,6352
7174,13301
7174,1487
7174,55983
7174,7908
7174,1236773
21064,110559
110559,138986
110559,53397
110559,7904
65717,36801
65717,22226
65717,10431
65717,9066
65717,1220781
65717,115002
65717,7447
10431,6614
10431,63918
10431,9066
10431,146307
10431,7166
10431,3026
10431,9979
10431,9789
10431,6449
9066,128621
9066,40178
9066,2672
9066,66776
9066,56752
9066,12147
9066,13784
9066,12149
9066,72063
9066,9088
9066,2895
4483,13570
4483,3417
4483,4135
4483,13717
4483,142439
4483,109404
4483,863
4483,39015
4483,7447
4483,9560
4483,3085
4483,9979
4483,9789
4483,6449
4483,10400
4483,5064
4483,19803
4483,1084298
4483,100140
4483,1839512
4483,1595030
4483,1839513
20627,2113523
9560,7499
9560,6161
9560,20767
9560,8338
9560,8437
9560,27554
9560,40266
9560,26659
9560,10297
9560,83002
9560,1813
9560,15175
9560,138
9560,36594
6352,13301
6352,1487
6352,10437
6352,77260
6352,70177
6352,10367
6352,1311
6352,67274
6352,12207
6352,1003713
6352,9979
6352,9789
6352,6449
6352,10400
6352,5064
13301,1487
13301,1107983
13301,52057
13301,110380
13301,10468
13301,10400
13301,1884
13301,138986
13301,33684
13301,92911
1487,1490
1487,84678
1487,76143
1487,111714
1487,165867
1487,1184302
1487,2585
1487,1489
1487,60642
1487,72861
1487,76136
1487,22868
1487,76138
1487,1718049
1487,1357834
1487,1417614
1487,110589
1487,10593
1487,10594
1487,44549
1487,15425
1487,10750
1487,3087
1487,20309
1487,28767
1487,1559401
1487,368
1487,73421
1487,1103791
1487,95678
1487,2392906
230680,73357
230680,1702761
230680,2136046
230680,2135942
73357,1702761
73357,2441
73357,15576
73357,2136046
73357,2135942
1702761,2136046
1702761,2135942
5469,1291350
5469,4529
5469,93225
5469,13333
5469,1344082
5469,2598
5469,15740
5469,3896
5469,2282
5469,10980
5469,10989
5469,10990
5469,11279
5469,80860
5469,57461
1291350,1136406
1291350,505710
1291350,1643142
2136046,2135942
47646,59620
47646,1108724
47646,20049
47646,47933
47646,34546
47646,7063
59620,2440
59620,28478
59620,1108724
1108724,78333
1108724,1890766
1108724,57096
1108724,1211217
1108724,1611987
10980,10989
10980,475512
10980,56323
10980,13636
10989,4391
10989,973
116341,7487
116341,102786
116341,19011
116341,1181293
116341,216674
116341,556903
116341,115863
116341,3125
116341,128550
116341,3896
116341,1846217
116341,1104726
116341,1700943
116341,44549
116341,1490
116341,84678
116341,1523586
116341,46432
116341,112035
116341,1725875
116341,1241252
116341,8261
116341,7174
116341,105629
116341,18977
116341,12219
116341,95778
116341,73641
116341,1202593
116341,33684
116341,1248913
116341,112200
116341,21111
116341,34521
