TIME,FLIGHT,FROM_AIRPORT,IATA,AIRLINE,AIRCRAFT,STATUS
14:30,UA195,Munich ,MUC,United Airlines,B788 (N27901),Scheduled
14:41,AA1895,Dallas ,DFW,American Airlines,B738 (N968NN),Scheduled
14:47,AS3340,Palm Springs ,PSP,Alaska SkyWest,E75L (N194SY),Scheduled
14:48,AS2305,Spokane ,GEG,Alaska Horizon,E75L (N629QX),Scheduled
14:50,AS2300,Portland ,PDX,Alaska Horizon,E75L (N631QX),Scheduled
14:50,BR18,Taipei ,TPE,EVA Air,B773,Scheduled
14:50,WN575,Las Vegas ,LAS,Southwest Airlines,B738 (N8688J),Scheduled
14:55,UA421,Los Angeles ,LAX,United Airlines,B738 (N12225),Scheduled
15:06,1I645,San Jose ,SJC,NetJets,C68A,Scheduled
15:08,UA5455,Palm Springs ,PSP,United Express,E75L (N127SY),Scheduled
15:09,UA5466,Boise ,BOI,United Express,CRJ2 (N652BR),Scheduled
15:14,UA1497,Las Vegas ,LAS,United Airlines,B739 (N75426),Scheduled
15:14,UA5281,Santa Barbara ,SBA,United Express,CRJ7 (N790SK),Scheduled
15:17,AS3430,Santa Ana ,SNA,Alaska SkyWest,E75L (N174SY),Scheduled
15:19,UA517,Portland ,PDX,United Airlines,A320 (N472UA),Scheduled
15:23,UA5386,Arcata ,ACV,United Express,E75L (N120SY),Scheduled
15:26,GAJ880,Santa Ana ,SNA,Gama Aviation,B350,Scheduled
15:30,AA3183,Los Angeles ,LAX,American Eagle,CRJ7 (N746SK),Scheduled
15:30,1I373,Oakland ,OAK,NetJets,E55P,Scheduled
15:34,UA5265,Redmond ,RDM,United Express,E75L (N211SY),Scheduled
15:35,UA5395,Fresno ,FAT,United Express,CRJ2 (N916EV),Scheduled
15:37,UA1478,Denver ,DEN,United Airlines,B738 (N76532),Scheduled
15:44,AS3485,Boise ,BOI,Alaska SkyWest,E75L (N199SY),Scheduled
15:56,AC566,Vancouver ,YVR,Air Canada,A320 (C-FKPT),Scheduled
15:58,DL1352,Salt Lake City ,SLC,Delta Air Lines,BCS1 (N108DQ),Scheduled
16:13,DL3643,Los Angeles ,LAX,Delta Connection,E75L (N292SY),Scheduled
16:20,AS3377,Seattle ,SEA,Alaska SkyWest,E75L (N186SY),Scheduled
16:35,TK79,Istanbul ,IST,Turkish Airlines,B789,Scheduled
16:38,UA1481,Houston ,IAH,United Airlines,B738 (N26232),Scheduled
16:40,FTH905,Napa ,APC,-,CN7,Scheduled
16:42,AA1890,Dallas ,DFW,American Airlines,A321 (N135NN),Scheduled
16:42,SY395,Minneapolis ,MSP,Sun Country Airlines,B738,Scheduled
16:45,UA59,Frankfurt ,FRA,United Airlines,B789 (N29984),Scheduled
